Area,population density per/km,Measure,Estimate population
Shetland Islands,15.6,1471,22948
Orkney Islands,22.2,1025,22755
Na h-Eileanan Siar,8.6,3070,26402
Highland,9.2,26484,243653
Argyll and Bute,12.5,7023,87788
Moray,41.7,2237,93283
Aberdeenshire,41.8,6317,264051
Aberdeen City,1207.1,182,219692
Perth and Kinross,28.5,5395,153758
Angus,52.4,2184,114442
Dundee City,2476.6,55,136213
Stirling,42.4,2243,95103
Clackmannanshire,325.4,158,51413
Fife,279.5,1340,374530
West Dunbartonshire,556.8,176,97997
East Dunbartonshire,624.7,176,109947
North Lanarkshire,725.5,476,345338
Falkirk,533.1,293,156198
West Lothian,423.9,427,181005
City of Edinburgh,1946.5,260,506090
Midlothian,273.1,350,95585
East Lothian,165.3,666,110090
Inverclyde,488.7,167,81613
Renfrewshire,702.9,263,184863
Glasgow City,3554.5,175,622038
North Ayrshire,150.7,888,133822
East Renfrewshire,555.5,168,93324
South Lanarkshire,184.7,1778,328397
Scottish Borders,24.7,4727,116757
South Ayrshire,91.3,1230,112299
Dumfries and Galloway,22.7,6446,146324
East Ayrshire,95.3,1262,"120,273"
