Area,population density per/km,Measure,Estimate population,UrbanRural
Shetland Islands,15.6,1471,22948,Rural
Orkney Islands,22.2,1025,22755,Rural
Na h-Eileanan Siar,8.6,3070,26402,Rural
Highland,9.2,26484,243653,Urban
Argyll and Bute,12.5,7023,87788,Rural
Moray,41.7,2237,93283,Rural
Aberdeenshire,41.8,6317,264051,Urban
Aberdeen City,1207.1,182,219692,Urban
Perth and Kinross,28.5,5395,153758,Urban
Angus,52.4,2184,114442,Rural
Dundee City,2476.6,55,136213,Urban
Stirling,42.4,2243,95103,Rural
Clackmannanshire,325.4,158,51413,Rural
Fife,279.5,1340,374530,Urban
West Dunbartonshire,556.8,176,97997,Rural
East Dunbartonshire,624.7,176,109947,Rural
North Lanarkshire,725.5,476,345338,Urban
Falkirk,533.1,293,156198,Urban
West Lothian,423.9,427,181005,Urban
City of Edinburgh,1946.5,260,506090,Urban
Midlothian,273.1,350,95585,Rural
East Lothian,165.3,666,110090,Rural
Inverclyde,488.7,167,81613,Rural
Renfrewshire,702.9,263,184863,Urban
Glasgow City,3554.5,175,622038,Urban
North Ayrshire,150.7,888,133822,Urban
East Renfrewshire,555.5,168,93324,Rural
South Lanarkshire,184.7,1778,328397,Urban
Scottish Borders,24.7,4727,116757,Rural
South Ayrshire,91.3,1230,112299,Rural
Dumfries and Galloway,22.7,6446,146324,Urban
East Ayrshire,95.3,1262,120273,Rural
